Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,2482743,01/08/2025 09:40,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,6000.00,0,"PAMM/Deposit by MT4 #4001695 PA",0,00:00:00:00,,,,,,,,,,,,
,2254821,01/06/2025 01:24,01/07/2025 16:07,GBPJPY,Buy,0.010,192.50000,0.00000,195.66300,197.56800,0.0000,0.0500,190.5,9.69,0.13,"",0,01:14:42:43,100.0,1d 14h ,128.8,0.00,252.8,12.64,0.0,0.0,100.0,75.4,-62.30,-3.12
,2283986,01/06/2025 10:37,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,1500.00,0,"PAMM/Deposit by MT4 #4001695 PA",0,00:00:00:00,,,,,,,,,,,,
,2254402,01/06/2025 01:04,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,2600.00,0,"PAMM/Deposit by MT4 #4001695 PA",0,00:00:00:00,,,,,,,,,,,,
,2066095,12/31/2024 00:33,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,500.00,0,"PAMM/Deposit by MT4 #4001695 PA",0,00:00:00:00,,,,,,,,,,,,
,1558270,12/13/2024 18:15,12/19/2024 00:16,AUDNZD,Buy,0.080,0.00000,1.10747,1.10375,1.10587,0.0000,-0.5200,21.2,7.07,0.23,"{6737801}                      ",100,05:06:01:09,43.7,2d 7h ,44.3,1.87,21.2,7.632,-39.7,-14.292,34.8,100.0,0.00,0.00
,1465907,12/11/2024 18:45,12/12/2024 21:59,AUDUSD,Sell,0.080,0.00000,0.63470,0.63752,0.63646,0.0000,0.0100,10.6,6.71,0.22,"{6644843}                      ",100,01:03:14:22,29.7,8h 5m,56.7,4.02,11.4,7.182,-45.8,-28.854,19.9,98.6,-0.80,-0.50
,1477782,12/12/2024 04:01,12/12/2024 15:51,AUDUSD,Sell,0.080,0.64052,0.63889,0.64113,0.64047,0.0000,0.0000,6.6,4.14,0.13,"{6655327}                      ",100,00:11:50:02,54.6,6h 27m,10.8,0.57,16.9,10.646999999999998,-9.7,-6.111,63.5,61.3,-10.30,-6.49
,1373107,12/10/2024 02:15,12/10/2024 05:30,AUDNZD,Sell,0.080,0.00000,1.09731,1.09950,1.09662,0.0000,0.0000,28.8,10.55,0.34,"{6556207}                  [tp]",100,00:03:15:44,,,,,,,,,,,,
,1319113,12/09/2024 02:00,12/10/2024 05:30,AUDNZD,Sell,0.060,0.00000,1.09731,1.09601,1.09660,0.0000,-0.0800,-5.9,-1.70,-0.05,"{6524445}                  [tp]",100,01:03:30:19,0.0,0s,38.2,38.31,0.0,0.0,-38.2,-10.314000000000002,0.0,84.6,-5.90,-1.59
,1349307,12/09/2024 14:30,12/10/2024 02:01,AUDNZD,Sell,0.080,1.09928,1.09742,1.09971,1.09926,0.0000,-0.1100,4.5,1.54,0.05,"{6542107}                  [sl]",100,00:11:31:50,100.0,11h 31m,16.0,0.05,20.5,7.585,0.0,0.0,100.0,22.0,-16.00,-5.92
,1336703,12/09/2024 09:45,12/09/2024 12:54,AUDNZD,Sell,0.080,1.09958,1.09760,1.10001,1.09958,0.0000,0.0000,4.3,1.58,0.05,"{6534567}                  [sl]",100,00:03:09:34,,,,,,,,,,,,
,1328750,12/09/2024 06:07,,,Deposit,0.010,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,513.00,0,"PAMM/Deposit by MT4 #4001695 PA",0,00:00:00:00,,,,,,,,,,,,
,1291973,12/06/2024 06:15,12/06/2024 15:36,NZDUSD,Buy,0.030,0.00000,0.59022,0.58652,0.58668,0.0000,0.0000,1.6,0.37,0.01,"from #1278375",100,00:09:21:32,22.3,2h 5m,21.4,5.22,4.1,0.943,-21.4,-4.922,16.1,90.2,-2.50,-0.57
,1278375,12/06/2024 06:15,12/06/2024 15:24,NZDUSD,Buy,0.040,0.00000,0.59022,0.58652,0.58466,0.0000,0.0000,-18.6,-5.83,-0.23,"to #1291973",100,00:09:08:53,11.2,1h 1m,22.7,5.22,4.1,1.271,-21.4,-6.6339999999999995,16.1,11.0,-22.70,-7.04
,1252669,12/05/2024 09:30,12/05/2024 18:08,AUDCAD,Sell,0.010,0.90387,0.90168,0.90618,0.90386,0.0000,0.0000,23.2,1.30,0.05,"from #1242029",100,00:08:37:47,100.0,8h 37m,8.1,0.03,31.3,1.878,0.0,0.0,100.0,74.1,-8.10,-0.49
